precision,recall,f1,roc_auc,pr_auc,model_name,fold,validation_rows,validation_fraud_count
0.05620805369127517,0.8933333333333333,0.10576164167324388,0.9830642159999412,0.7500326387462516,logistic_regression,1,45396,75
0.051166290443942816,0.9066666666666666,0.09686609686609686,0.9732494869927848,0.7243429373353522,logistic_regression,2,45396,75
0.06288032454361055,0.8157894736842105,0.1167608286252354,0.9733947484554281,0.6528928103747433,logistic_regression,3,45396,76
0.05927180355630821,0.9210526315789473,0.11137629276054097,0.9879439192641799,0.7251484488788029,logistic_regression,4,45396,76
0.06048053024026512,0.9605263157894737,0.11379579111457522,0.98717395596228,0.7453637516366467,logistic_regression,5,45396,76
0.95,0.76,0.8444444444444444,0.9385338658311453,0.8196311737719721,random_forest,1,45396,75
0.9682539682539683,0.8133333333333334,0.8840579710144928,0.9456530085390878,0.8685493653840056,random_forest,2,45396,75
0.9272727272727272,0.6710526315789473,0.7786259541984732,0.9062063048729503,0.7546135270663549,random_forest,3,45396,76
0.8970588235294118,0.8026315789473685,0.8472222222222222,0.9530246899242811,0.8590882137491485,random_forest,4,45396,76
0.9411764705882353,0.8421052631578947,0.8888888888888888,0.9529958017838064,0.8474116889930348,random_forest,5,45396,76
