model_name,preprocessing,validation
logistic_regression,median_imputation + standard_scaling fitted on X_train only,StratifiedKFold(n_splits=5) on training split with fold-specific preprocessing
random_forest,median_imputation fitted on training data only,StratifiedKFold(n_splits=5) on training split with fold-specific preprocessing
