model_name,metric_scope,precision,recall,f1,roc_auc,pr_auc
logistic_regression,cv_mean,0.05800140049508038,0.8994736842105263,0.10891213020793847,0.9809652653349229,0.7195561173943593
logistic_regression,cv_std,0.004037294397802639,0.04750908289825409,0.007022204854066018,0.006457569281277132,0.03490855671111883
random_forest,cv_mean,0.9333120079601394,0.7751578947368422,0.8455553869023029,0.9502039216573855,0.8340317847098964
random_forest,cv_std,0.0257711746286343,0.06439008543629268,0.04393027425804563,0.016746901349730593,0.03615886074626124
