,correlation_with_class,abs_correlation_with_class
V14_V12_interaction,0.5719066340575832,0.5719066340575832
V17_V16_interaction,0.5314411979579191,0.5314411979579191
V17_V12_interaction,0.5299942256118508,0.5299942256118508
V17_V14_interaction,0.5282595595701044,0.5282595595701044
V17_V10_interaction,0.5183056927153086,0.5183056927153086
time_day_fraction,-0.016695697304993422,0.016695697304993422
time_normalized,-0.012359339838080659,0.012359339838080659
log_amount,-0.00779790961120431,0.00779790961120431
