feature,u_statistic,p_value,rank_biserial_correlation,effect_size,significant_at_0_05
V14,126896444.0,2.304859049719335e-248,-0.8942783197823827,strong,True
V12,125197232.0,1.358343782132312e-234,-0.8689129088153578,strong,True
V10,121998541.0,9.598036358821476e-210,-0.821163651058513,strong,True
V16,112734405.0,1.1105055547481082e-145,-0.6828709501510275,strong,True
V17,107246213.0,2.854261096387558e-113,-0.6009445951429775,strong,True
