model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,best_threshold,tn,fp,fn,tp
Random Forest,0.9995418179254926,0.9859154929577465,0.7368421052631579,0.8433734939759037,0.9299791242594314,0.8097441266856821,0.575,56650,1,25,70
Logistic Regression,0.9991541254009093,0.7526881720430108,0.7368421052631579,0.7446808510638298,0.9605915815115449,0.641875975404191,0.9980964895882618,56628,23,25,70
