model,best_threshold,best_threshold_precision,best_threshold_recall,best_threshold_f1
Logistic Regression,0.9980964895882618,0.7526881720430108,0.7368421052631579,0.7446808510633299
Random Forest,0.575,0.9859154929577465,0.7368421052631579,0.843373493975414
